code,libelle,niveau_indent,type
EJ_21900,BNPP Real Estate Facilities Management Ltd,3,feuille
EJ_56785,BNPP Real Estate Property Development UK Ltd,3,feuille
EJ_63264,REPD Parker Ltd,3,feuille
EJ_63267,Parker Tower Ltd,3,feuille
EG_245,BNP Paribas Real Estate - GBP,3,feuille
EJ_21902,BNPP Real Estate Holding GmbH,3,feuille
EJ_21904,BNPP Real Estate GmbH,3,feuille
EJ_21905,BNPP Real Estate Property Management GmbH,3,feuille
EJ_21906,BNPP Real Estate Consult GmbH,3,feuille
EJ_65631,BNPP Real Estate Property Development & Services GmbH,3,feuille
UG_399,Real Estate - Germany,3,feuille
EJ_21908,BNPP Real Estate Belgium SA,3,feuille
EG_18,Real Estate - Belgium,3,feuille
EJ_21913,BNPP Real Estate Spain SA,3,feuille
EJ_66723,Cariboo Development SL,3,feuille
EJ_67018,Wapiti Development SL,3,feuille
EG_391,Real Estate - Spain,3,feuille
EJ_66208,BNPP Real Estate Portugal Unipersonal LDA,3,feuille
EJ_68173,Exeo Aura & Echo Offices Lda,3,feuille
EG_392,Real Estate - Portugal,3,feuille
EJ_56392,BNPP Real Estate Poland SP ZOO,3,feuille
EG_393,Real Estate - Poland,3,feuille
EJ_58073,BNPP Real Estate Advisory Netherlands BV,3,feuille
EG_394,Real Estate - Netherlands,3,feuille
EJ_42444,BNPP Real Estate Advisory & Property Management Ireland Ltd,3,feuille
EG_396,Real Estate - Ireland,3,feuille
EJ_40711,BNPP Real Estate Advisory Italy SPA,3,feuille
EJ_42089,BNPP Real Estate Property Developpement Italy SPA,3,feuille
EJ_42445,BNPP Real Estate Property Management Italy SRL,3,feuille
EJ_46520,BNPP Real Estate Italy SRL,3,feuille
EJ_56692,Sviluppo Residenziale Italia SRL,3,feuille
EJ_65323,Horti Milano SRL,3,feuille
UG_397,Real Estate - Italy,3,feuille
EJ_21912,BNPP Real Estate Advisory & Property Management Luxembourg SA,3,feuille
UG_398,Real Estate - Luxembourg,3,feuille
EGMET_12,Métropole Immobilier - Services Immobiliers,3,feuille
EG_169,Services Immobiliers - EUR - Non Ventilée,3,feuille
UG_39,Real Estate Services scope of responsibility,1,node/subtotal
